bp,A1: VK_Corrielle_1,A2: VK_Corrielle_2,A3: VK_Corrielle_3,A4: VK_Corrielle_4,A5: VK_Corrielle_5,A6: VK_Corrielle_6,A7: VK_Corrielle_7,A8: VK_Corrielle_8,B1: VK_Corrielle_9,B2: VK_Corrielle_10,B3: VK_Corrielle_11,B4: VK_Corrielle_12,B5: VK_Corrielle_13,C1: YG_Corrielle_1,C2: YG_Corrielle_2,C3: YG_Corrielle_3,C4: YG_Corrielle_4,C5: YG_Corrielle_5,C6: YG_Corrielle_6,C7: YG_Corrielle_7,C8: YG_Corrielle_8,D1: YG_Corrielle_9,D2: YG_Corrielle_10,D3: YG_Corrielle_11,D4: YG_Corrielle_12,D5: YG_Corrielle_13
96,8.167988379,21.94581866,105.3635966,135.2142873,130.5984293,140.5474739,101.0730669,160.0002542,150.1521782,136.8540443,161.3428716,137.9047013,74.49833181,127.4862457,101.7741463,79.64215449,68.63012839,94.83312978,94.20845873,123.4973554,150.5424947,92.09444047,112.2621821,100.8721321,131.6940851,85.68976133
97,7.865390507,23.01916074,111.334756,142.9556417,137.8682205,148.7857768,106.5540416,168.5477732,159.0491199,145.2207712,168.4710286,145.7471398,78.47803722,133.8083205,106.9714331,84.15452875,73.62093218,100.5025968,100.788916,131.9772519,159.7833373,97.638557,119.2155963,106.1368355,139.6795688,91.53572112
98,7.450563528,24.2033598,117.7731208,150.7411892,145.9053211,157.473777,112.4396677,177.3915075,167.901158,153.6774012,176.3076686,153.8999585,83.06393786,140.9116107,112.2583976,88.52197265,78.79251084,106.6066476,107.6664605,140.6642587,169.3274673,103.6280935,126.7571974,111.2279733,148.4901662,97.12258924
99,7.134803241,26.58147703,124.5525216,158.7632312,154.8123282,166.3138983,118.8642086,186.9066606,176.4240395,162.3912958,185.6442712,162.4685513,88.30875811,149.028515,118.0181862,93.16664767,83.79438834,113.1676792,114.6082805,149.2565181,178.6858104,110.2910641,134.7334112,116.7941435,158.2599379,102.5023884
100,7.130057287,29.45575466,131.4533466,167.1815281,164.4334824,175.7908748,125.851457,197.1998508,184.7049804,171.6054533,195.3723922,171.6242812,94.00943953,158.0557399,124.5912262,98.32849203,88.27749566,120.0244138,121.4029803,158.1600485,187.5847814,117.6375037,142.9417147,123.1926442,168.8301214,107.9482031
101,7.57049882,30.70861699,138.298185,176.1040605,174.583226,186.0728317,133.3232099,208.112937,193.2864454,181.4709993,205.7781143,181.4971907,100.0517396,167.5145075,132.07892,103.8845912,92.0859685,126.9388294,127.9514484,167.4116762,196.2769364,125.2118603,151.09374,130.5341491,179.8281174,113.8708002
102,8.390058251,32.02237855,145.3189089,185.7252034,185.4382387,193.3253513,141.2244206,219.6871776,202.9988866,192.004693,216.5684145,192.0723782,107.1531591,176.9418659,140.1903552,109.7351899,95.49674364,134.0756665,134.5354021,173.5781393,205.6630387,132.4052664,158.9373198,138.6544826,191.2386968,120.9102346
103,9.310188484,34.00959816,152.7402041,195.9818007,197.0037453,197.6112437,149.5563248,231.933706,213.7767467,202.9702882,227.384776,203.0099515,113.3950597,186.2830516,148.3242808,115.9012367,98.90531493,141.6332886,141.4194722,177.0436197,216.211878,139.1826376,167.3071956,147.2847634,202.781542,127.0116966
104,10.02363926,36.05601373,160.6157795,206.5829118,209.0087124,202.8056221,158.3476666,244.7299253,225.266363,214.0873849,238.076859,213.9237592,116.8803505,195.9005661,156.0077595,122.4764931,102.7065026,149.6260532,148.6307191,181.3413379,227.6898581,146.1007135,175.992319,156.2268374,214.475553,130.2761841
105,10.43749338,37.7969098,168.7896042,217.2210551,220.9992239,212.8092754,167.5914229,257.7938688,237.3933394,225.3179679,248.8060665,224.7983847,119.8361793,206.3667641,163.4108957,129.5231563,107.2317363,157.7837912,155.8716567,189.2457412,239.2729034,153.9620353,181.7350485,165.5150816,226.8210092,133.049919
106,10.68187478,39.0490541,177.1127101,227.9631897,232.6803938,224.9642076,177.138914,270.865923,247.0012977,236.720634,259.7287168,235.9548479,125.1055409,217.7643283,171.1253074,136.9526313,112.6335056,165.9118255,162.9696654,198.8963838,250.3583517,162.8504714,185.4225388,175.3309711,236.1805922,137.9811032
107,10.82,39.93,185.53,239.2,244.07,236.81,186.88,283.79,259.67,248.3,270.81,247.65,132.71,229.72,179.64,144.61,118.77,174.09,170.14,208.65,260.86,172.26,190.64,185.69,241.25,145.2
