bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16
580,5.198951668,3.236921241,5.025788058,8.259104797,21.03502165,0,6.865100749,3.634392876,3.908717117,8.362637626,1.154374629,5.737881482,5.737507968,4.493366715,1.417598195,2.149223463,4.598006333,3.253728983,5.099694862,4.764903814,5.276082916,3.072796317,2.363026592,7.884117087,48.99888073,0.871943673,3.160066332,0,0,2.968185891,0,0
581,5.58607015,3.237277492,4.20328761,8.533277941,20.75293729,0,7.018101003,3.391122482,3.889459828,8.493525002,1.45563238,5.630102023,5.77261038,5.407888034,0.758993833,2.215665601,4.43013533,3.817193971,5.557147597,4.837206703,4.876227923,3.286018655,2.682042696,7.59355766,48.77593127,0.717275203,3.006801922,0,0,2.486851255,0,0
582,5.438146442,3.145161066,3.184238134,8.627143343,20.11769833,0,6.768048651,3.409033841,3.874166426,8.819180249,1.634980534,5.744601571,6.146621818,6.016577404,0.445674359,2.318560498,3.947391542,4.42525041,5.947235499,4.9799025,4.185470535,3.60456048,3.123360367,7.007817674,48.82620172,0.435803453,3.055559519,0,0,2.224137177,0,0
583,5.255522539,2.965446144,2.212083739,8.410572328,19.34368232,0,6.149141444,3.818198732,3.76001902,9.272143811,1.686593857,6.02670809,6.741506078,6.249816356,0.521945429,2.4309708,3.343113999,4.802086729,6.11867861,5.08812368,3.421717936,4.019227883,3.728074897,6.400768873,48.90578833,0.05382121,3.232660876,0,0,2.174899293,0,0
584,5.140320797,2.719610363,1.509845474,7.863813839,18.64005302,0,5.278667988,4.578082539,3.474893338,9.771610097,1.692472903,6.409287434,7.428438977,6.167460893,0.891324999,2.543439395,2.806359083,4.896887502,6.085060029,5.073053985,2.789211342,4.411935147,4.45828317,5.982116378,48.90474752,0,3.445607895,0,0,2.283833817,0,0
585,4.490578285,2.455616673,1.215922367,7.087325887,18.07965754,0,4.353688106,5.425453076,3.0325638,10.25346028,1.785224631,6.822581526,8.0796031,5.946892953,1.309851236,2.640398586,2.441457483,5.002507366,6.071513927,4.885618827,2.423572398,4.518441767,5.169131467,5.731154126,48.94419604,0,3.605663192,0,0,2.461226864,0,0
586,3.487166115,2.181454797,1.291428461,6.196340985,17.74715446,0,3.584488478,6.109321547,2.529330853,10.69327136,1.925581373,7.187604012,8.584268955,5.681122841,1.584184428,2.634289768,2.217644529,5.136595243,6.053618822,4.545862779,2.347681153,4.340442011,5.69524959,5.603243656,48.93477598,0,3.65118476,0,0,2.68937603,0,0
587,2.769825396,1.866331198,1.591591592,5.310349516,17.71364235,0,3.147059284,6.451939931,2.094660203,11.0755355,1.961651076,7.427479442,8.85778463,5.400797251,1.598842801,2.452085775,2.033655474,5.148695196,5.878787118,4.142451133,2.509351243,4.063996342,5.889350039,5.560680016,48.66383224,0,3.544188526,0,0,2.990594688,0,0
588,2.559131652,1.429900459,2.001380612,4.551846436,17.92204431,0,3.041255359,6.517959624,1.782015021,11.31095336,1.756856699,7.501954905,8.882799804,5.132611262,1.405059721,2.298000866,1.852106655,5.027239735,5.605748631,3.876036622,2.836732267,3.882261856,5.722297535,5.614605694,48.04149795,0,3.274039865,0,0,3.345401916,0,0
589,2.87983368,0.834765267,2.454720999,4.027287217,18.23923387,0,3.148534687,6.438337584,1.58294043,11.29334447,1.298569932,7.413901837,8.682801428,4.850286866,1.105961894,2.376400125,1.679429754,4.814744191,5.265278076,3.821828643,3.247126496,3.905855144,5.244181114,5.773087147,47.04209252,0,2.864900417,0,0,3.675307124,0,0
590,3.606601169,0.154179801,2.95877561,3.808850402,18.46249995,0,3.235351135,6.333042324,1.415824016,10.9305636,0.798849687,7.228722339,8.321009352,4.444345783,0.81379801,2.735609442,1.568036898,4.579593132,4.727379001,3.770579907,3.644611998,4.086417056,4.5910669,6.0093881,45.70089293,0.624181667,2.392895775,0,0,3.817268638,0,0
591,4.456710035,0,3.483682568,3.924300573,18.48507821,0,3.321824832,6.191723189,1.245228569,10.24378474,0.479451385,7.026460794,7.833423393,4.069592338,0.631906258,3.268840846,1.538158595,4.38293116,3.960592339,3.701596516,3.887859016,4.348733121,3.89179051,6.242842237,44.17060335,1.11595405,1.948304109,0,0,3.677079511,0,0
592,5.049419883,0,3.951184195,4.347341942,18.31309348,0,3.613565185,5.902724408,1.087469546,9.356793235,0.514066526,6.8937062,7.233972521,4.055658642,0.643007504,3.769651515,1.582078259,4.267477435,3.064430262,3.749530733,3.819695579,4.608663834,3.252858922,6.361264731,42.69137267,1.367907792,1.615104299,0,0,3.243525291,0,0
593,5.145876444,0,4.221659484,4.929870239,18.10489945,0,4.047546854,5.412558389,0.992063351,8.437091011,0.855530341,6.916643051,6.568223556,4.357963624,0.853186499,4.147002198,1.717084115,4.214299331,2.335932296,3.840136717,3.42046226,4.775414601,2.730504735,6.324090022,41.45731824,1.43199341,1.392271607,0,0,2.606501309,0,0
594,4.690677989,0,4.165910451,5.470117124,18.03476451,0,4.498754882,4.732946302,1.001732842,7.623112367,1.352342194,7.119310158,5.909356953,4.808124292,1.174987576,4.373643045,1.939626871,4.172941191,2.070805175,3.832292852,2.789911139,4.761378577,2.34697103,6.159049694,40.59157772,1.410149479,1.247156104,0,0,1.882904162,0,0
595,3.955571181,0,3.744826824,5.754080829,18.16397435,0,4.95774287,3.981337617,1.107755015,6.938444053,1.808071838,7.365656026,5.365935586,5.300033906,1.359354618,4.465104299,2.167983981,4.074419529,2.360751817,3.630094347,2.19286911,4.496997932,2.087546136,5.994916317,40.08200664,1.379324431,1.151961101,0,0,1.160645145,0,0
596,3.290705124,0.03421361,3.026076333,5.717058695,18.40184807,0,5.405634928,3.28285378,1.226756614,6.404990815,2.109873013,7.470639699,4.959735599,5.709053507,1.211301926,4.381273684,2.351400309,3.882268468,3.081359219,3.211956456,1.819437256,4.016547432,1.951925974,5.927178988,39.84382517,1.382686733,1.10866265,0,0,0.537158099,0,0
597,3.032100819,0.525163413,2.188340585,5.476924984,18.51224629,0,5.796577715,2.745559206,1.201066591,6.082884932,2.246471799,7.250139483,4.605084169,5.891587161,0.661613961,4.030518017,2.500114182,3.606126961,3.904019955,2.641025292,1.726045353,3.466385753,1.960313079,5.98478795,39.73670065,1.425825722,1.144858304,0,0,0.121208592,0,0
598,3.129474244,0.893049879,1.460056031,5.242252061,18.32116497,0,6.125202239,2.418979618,0.885205597,6.201224351,2.19219921,6.762064793,4.196561469,5.820986507,0,3.491138601,2.725588199,3.305701467,4.543677285,2.052808975,1.805145634,2.967939097,2.110670865,6.105918316,39.64413522,1.48251313,1.223880238,0,0,0,0,0
599,3.306277861,1.013005903,1.053291317,5.192026331,17.76848556,0,6.406742752,2.305590327,0.211575622,6.882618086,1.920585272,6.215666693,3.674516922,5.535728086,0,2.962626066,3.098837765,3.055596012,4.805729636,1.606514579,1.88909961,2.685747953,2.374376537,6.200097217,39.48700297,1.50053905,1.284525054,0,0,0.122052849,0,0
600,3.19746468,0.872711837,1.043934019,5.260098004,17.0618003,0,6.652471639,2.348546869,0,7.593031525,1.43913356,5.907111073,3.161340169,5.088150689,0,2.750948634,3.379842261,2.896194524,4.710882745,1.421240278,1.883181998,2.978295034,2.672180853,6.233929861,39.26748304,1.392164355,1.299175122,0,0,0.424849031,0,0
601,2.655602155,0.561708271,1.37359476,5.357434538,16.47451401,0,6.860133025,2.487439622,0,8.043319844,0.830012242,5.962291312,2.79958246,4.511786682,0,3.003495647,3.399260314,2.81475607,4.382298951,1.548231093,1.756087382,3.724482327,2.880310319,6.217440018,39.02630893,1.112776887,1.311214117,0,0,0.732117676,0,0
602,1.897630581,0.279133425,1.831036149,5.443765864,16.27386884,0,7.011104135,2.677382655,0,8.495891928,0.271668085,6.215883693,2.693930858,3.815715904,0,3.584788082,3.19831596,2.736935701,4.018500886,1.946660032,1.547362967,4.09324525,2.831690133,6.201418142,38.82993939,0.69930592,1.452194451,0,0,0.886949005,0,0
603,1.32472325,0.160113672,2.234046946,5.534451926,16.49955372,0,7.115462441,2.898224813,0,8.968967882,0,6.353335424,2.828653018,3.103059303,0.287560116,4.17765876,2.904053529,2.662664745,3.722408931,2.519146238,1.302385421,4.007775689,2.439205679,6.17280596,38.67733953,0.268967545,1.778773115,0,0,0.846535768,0,0
604,1.348652461,0.256713631,2.466016428,5.657993662,17.02413391,0,7.188350909,3.132393745,0,9.263917255,0,6.042712575,3.121439194,2.527645766,0.441152929,4.419331059,2.667936458,2.652058066,3.512492589,3.130387337,1.078267524,3.869409199,1.715339408,6.078973245,38.5185131,0,2.269376164,0,0,0.655822595,0,0
605,1.943153021,0.464115363,2.585096116,5.741712363,17.65757688,0,7.174302605,3.300579251,0,9.084092262,0,5.2672615,3.549269976,2.177124267,0.508003622,4.234692671,2.538404727,2.795344761,3.334895225,3.623419315,0.986032045,3.750907989,0.87311812,5.894651144,38.29500432,0,2.796697062,0,0,0.408963048,0,0
606,2.842731246,0.649860015,2.692426115,5.705531641,18.26478711,0,7.023099902,3.313918372,0.003572117,8.369142598,0,4.223528203,4.095578546,2.108821966,0.628527325,3.700199395,2.491647342,3.12918153,3.18474165,3.868434728,1.111025832,3.641550937,0.173625541,5.633465205,38.00026883,0,3.21308248,0,0,0.221065616,0,0
607,3.576803134,0.718488249,2.869084912,5.511678341,18.85141451,0,6.739215585,3.106733952,0.562204556,7.561624043,0,3.334330928,4.718334082,2.346432265,0.86694972,3.018592893,2.424158554,3.568453039,3.187686351,3.80545422,1.454540794,3.557693036,0,5.367311139,37.72890951,0.211130773,3.396347185,0,0,0.217564508,0,0
608,3.869470725,0.627440041,3.097536126,5.111631168,19.44008226,0,6.412786928,2.738760803,1.069657686,6.971027835,0,2.866973007,5.305524191,2.677811914,1.131623181,2.31475024,2.264199713,3.99532939,3.393462014,3.475112677,1.942474628,3.483259857,0,5.147331439,37.51049605,0.463883192,3.335152455,0,0,0.461570885,0,0
609,3.671229198,0.392055206,3.280504767,4.467231101,20.0336908,0,6.181475791,2.378672584,1.496482864,6.715442456,0,2.880659062,5.700009614,2.748195175,1.218778683,1.638414585,1.98680027,4.284523613,3.742327926,3.002898409,2.449258394,3.3771594,0.335440005,4.986365979,37.28998824,0.678287035,3.121720187,0,0,0.939131187,0,0
610,3.151359642,0.123376369,3.351485887,3.692286079,20.50626778,0,6.042757126,2.202015085,1.766971711,6.762954964,0,3.127685118,5.831666346,2.588483261,1.032722529,1.077245286,1.635316636,4.367497338,3.987912965,2.536411617,2.888963937,3.237485506,0.779140613,4.807741616,36.90347099,0.800570508,2.903462557,0,0,1.502095541,0,0
