bp,A1: JW_1,A2: JW_2,A3: JW_3,A4: JW_4,A5: JW_5,A6: JW_6,A7: JW_7,A8: JW_8,A12: Std_1,B1: JW_9,B2: JW_10,B3: JW_11,B4: JW_12,B5: JW_13,B6: JW_14,B7: JW_15,B8: JW_16,B12: Std_2,C1: VK_1_501,C2: VK_2,C3: VK_3,C4: VK_4,C5: VK_5,C6: VK_6,C7: YG_1,C12: Std_3,D1: YG_6_427,D2: YG_9,D12: Ladder
730,2.8119201195988586,7.432569512747049,0.9849207843167064,1.7663032362742084,0.0,0.8558487563818712,1.4993806999155106,0.3168723247880889,1.9049106148749786,0.0,0.0,0.0,2.981450921848149,1.6180200691239217,0.0,0.0,3.100125181899801,0.0,0.13776185201371988,0.8566796799842457,1.9939518758626773,0.2896661785106605,0.0,0.5341941768404466,0.0,3.6291504801870786,3.015382083747868,12.770591781963702,6.175508758748946
731,2.5975684858549806,7.603515067411406,1.046455600831212,1.978099457908684,0.0,1.086792225155856,1.29452834329373,0.0,1.8181192415136385,0.0,0.0,0.0,2.537419985512234,1.8488479116165564,0.0,0.0,3.0864087068354085,0.0,0.19021546952509757,0.5071618518175209,1.710976240552143,0.5345677282054323,0.0,0.598328140368779,0.0,2.984138048514434,2.969075133664721,12.804213847202274,6.223461959918085
732,2.3699742700241013,7.519454494165079,1.1114689612155824,2.2320358402612306,0.0,1.3343753256478672,1.148249530119119,0.0,1.6770072760109616,0.0,0.0,0.0,2.1700467350489485,2.079786129483422,0.0,0.0,3.0998557785703826,0.0,0.15885733149190984,0.0884543877343845,1.2435677017879743,0.7748601637493301,0.0,0.8098002334510424,0.0,2.376207807221631,2.9410631661575795,12.759921784694592,6.151747635954859
733,2.2081582767491654,7.26385280694217,1.217085151764919,2.5266615273547193,0.0,1.6013397661229016,1.1344363962170225,0.0,1.4842155961618522,0.0,0.0,0.0,1.934186087182534,2.241863441032822,0.0,0.0,3.078690672861561,0.0,0.028221437801006027,0.0,0.6742166982613211,1.0425797780831556,0.0,1.1854172468112674,0.0,1.856872670216113,2.9458463796564702,12.613984283010677,6.005943809138937
734,2.12494451370253,6.953400776550075,1.3429552195786845,2.817161216229214,0.0,1.912114521876549,1.2831546419696538,0.0,1.2438069126531948,0.383945520272321,0.0,0.0,1.8337657232446634,2.2985089176894355,0.0,0.0,3.005548017955958,0.0,0.0,0.0,0.06559366967806551,1.3514015767155385,0.0,1.6995728998890478,0.0,1.3986283102811816,2.9735434729523798,12.383923692310372,5.796400285002084
735,2.110019089346481,6.712910010161059,1.4496031828924638,3.0434378757778466,0.35914982391142375,2.297064079943443,1.6066234720014587,0.0,0.9607435834487831,0.7679464988486703,0.0,0.0,1.8548824690742312,2.2266857861330975,0.0,0.0,2.8794413746977887,0.0,0.0,0.0,0.0,1.7080577919447486,0.0,2.3124657280731884,0.0,0.9483639424377837,3.0060974661994546,12.101760123488846,5.522261307083646
736,2.134177817007236,6.599993085143086,1.5022664201705775,3.1302871031009105,0.9567965483587362,2.756628411429755,2.0490588019281017,0.0,0.6492343371662473,1.0863958634232558,0.0,0.0,1.9684381739661092,2.0611060002820376,0.0,0.0,2.7308529806112394,0.0,0.0,0.0,0.0,2.102516475302334,0.0,2.986012594652979,0.0,0.47460645228256176,3.0260997196896993,11.813004825674808,5.196940494162905
737,2.149844401571717,6.606760346136717,1.470807644398268,2.9878455941003805,1.523569945900863,3.2620753049359217,2.4884573041761904,0.0,0.33250105073310277,1.3362770263137695,0.0,0.0,2.1305608322820757,1.8927234089922234,0.0,0.0,2.620894166202965,0.0,0.0,0.10680172704301544,0.0,2.5084190527337613,0.0,3.6838141712173065,0.0,0.0,3.016785802409558,11.576286787618853,4.8477780550199
738,2.1211381310059534,6.702063324054932,1.34076905835266,2.56506911958351,1.9899884784350828,3.7730469310711516,2.8179547695367133,0.0,0.03836745347010855,1.5154347606300198,0.0,0.0,2.310730843234908,1.805297265055514,0.0,0.09121180626259315,2.5971572643133496,0.0,0.07237284971443445,0.5588341133227648,0.0,2.8998096858820053,0.0,4.368932912113764,0.15024078460129126,0.0,2.9667082514145506,11.437993730974792,4.515596821127339
739,2.0470993863158906,6.7971669798049,1.1411087303294205,1.921436799948911,2.331423922384288,4.219986799793897,2.980822667444481,0.0,0.0,1.6231980543799134,0.0,0.0,2.517575938152015,1.855881320331489,0.0,0.35298228777460855,2.665777343757528,0.0,0.39774550307804823,1.0769672014900624,0.0,3.2537592268981053,0.0,5.002726798370977,0.5179782267748781,0.0,2.8792495017024695,11.408673337704975,4.277395997358561
740,1.9334639446158812,6.800374708141415,0.9069909580317248,1.1413649346113615,2.5372028435591636,4.534164457255089,2.9395967800779177,0.0,0.0,1.658322148780831,0.0,0.16868895577203222,2.7652678993660684,2.0858140291259333,0.0,0.534420092702633,2.823122385635967,0.0,0.6648208892338189,1.5966194600974877,0.0,3.548616730552375,0.0,5.546133345389463,0.7903247072475699,0.0,2.75952399025174,11.487119296804435,4.209312233162358
741,1.7917643744315126,6.685648477555289,0.661070168856263,0.36249639443605153,2.6539518899943744,4.701810919670332,2.754991375694263,0.0,0.0,1.6118179734253104,0.0,0.6009138723441012,3.0562144855168762,2.4333634091662817,0.0,0.655165398591554,3.041748673765101,0.0,0.785813610751354,2.040141912692925,0.0,3.7697309195938797,0.0,5.95893510449896,0.9921533246565197,0.0,2.604761730224631,11.62072199217557,4.320884128312121
742,1.6365214378543422,6.463100106413638,0.41908061684924514,0.0,2.758964451986677,4.739262135821317,2.540554663302788,0.0,0.0,1.470444961714837,0.0,1.0947071768901242,3.3859617526289587,2.7812226258128403,0.0,0.7529174592105762,3.281468106819165,0.0,0.6885487423042281,2.3235290799300823,0.0,3.9063005249356197,0.0,6.200733321178188,1.1501381584507215,0.0,2.408048569126595,11.730175762282926,4.584784672888068
743,1.4728797120616253,6.168438331528274,0.19001577124688024,0.0,2.9014550440071094,4.675390282207788,2.3782752654885284,0.0,0.1512205801414805,1.2186480219830298,0.0,1.6165628531571097,3.723455212613317,3.039017469935747,0.0,0.8549276005656903,3.513733983776841,0.0,0.36923305349933716,2.4056343471370454,0.0,3.9500344430386245,0.0,6.256689408051413,1.253874514042609,0.0,2.17065631831973,11.807983472277058,4.936365406735308
744,1.2916589773719713,5.875804170679808,0.0,0.0,3.087409164603861,4.55770123075996,2.3012745325869646,0.0,0.5360277717875725,0.8374118945252679,0.0,2.0764472314639093,3.9972339062984323,3.158236157774143,0.0,0.9722607948361595,3.7279226547325996,0.0,0.0,2.310679102148101,0.0,3.896405796337267,0.0,6.150894009233448,1.2364617265137683,0.0,1.9063865493899215,11.956413987807712,5.254700782417703
745,1.08318907252,5.652074479894088,0.0,0.0,3.3057095913743675,4.427384256952854,2.329144036799564,0.0,0.9203108051384874,0.31745030179112327,0.0,2.391317364222903,4.145253362190164,3.110151401929912,0.0,1.1094314120221866,3.918619159722895,0.0,0.0,2.0789600144400278,0.0,3.7480701810797026,0.0,5.916205792375839,1.0400871092100048,0.3517381485557421,1.6344458832298783,12.251212665370948,5.421050316006899
746,0.8412142841341164,5.513868072994518,0.0,0.0,3.4806929220464187,4.28787327171867,2.4363137047623495,0.0,1.1990882218712073,0.0,0.0,2.534356549198766,4.166832260320301,2.943979234941115,0.0,1.2460824267731303,4.098152765893358,0.0,0.0,1.8014932708701494,0.12140318283039955,3.540577991116567,0.0,5.611830300058442,0.6731987249792332,0.6990274809719907,1.394895101060434,12.596910560404016,5.349776697868845
747,0.5606797777787725,5.461898153754481,0.0,0.4225625624282124,3.5204855278595004,4.132377124955212,2.585298261443932,0.0,1.2633324624124431,0.0,0.0,2.498543206421118,4.082152062255911,2.7315638696892686,0.0,1.355065940893984,4.284253776175263,0.0,0.0,1.5809533840371301,0.6962746997023499,3.3197081532017,0.0,5.303786145361625,0.16710856602312082,0.8023991627645936,1.2321011109167175,12.850778310078322,4.96922179512098
748,0.23983241420495244,5.4808237999817955,0.0,0.8587854434804487,3.390119304116874,3.973730378002622,2.7678905868290085,0.0,1.077693139493046,0.0,0.0,2.3315940685277314,3.9575148935599533,2.5321611716680743,0.0,1.4211496361913867,4.496375041500563,0.0,0.0,1.4554563425005707,1.1498269010346305,3.138402140699788,0.0,5.038471905665953,0.0,0.6724298006830178,1.1549272150531433,12.942698579521744,4.282690229484098
