bp,E1: JW_1,E2: JW_2,E3: JW_3,E4: JW_4,E5: JW_5,E6: JW_6,E7: JW_7,E8: JW_8,F1: JW_9,F2: JW_10,F3: JW_11,F4: JW_12,F5: JW_13,F6: JW_14,F7: JW_15,F8: JW_16
147,279.7844019,708.533878,91.1775464,595.6193878,746.2833607,555.4352358,657.1082742,339.6741192,144.1319412,235.9465263,40.67789634,617.3035168,500.5656728,667.9338992,562.5378129,513.727802
148,284.6056335,720.4079629,92.17303081,605.2917482,756.7311383,563.3496507,667.6155292,345.0737147,145.7282316,239.7043412,41.6384367,627.7849156,510.3354934,677.8296248,572.7303394,522.820385
149,289.2524761,732.4800821,93.2933524,615.0127096,767.4377569,571.6001793,678.3255736,350.3886433,147.6288535,243.5117787,42.47770981,638.498806,519.9016083,688.3549387,582.4846874,532.1425091
150,293.6091827,744.6213598,94.45852208,624.5097614,778.4362628,579.9946802,689.0015204,355.7919362,149.9274533,247.453978,43.10035046,649.7519728,529.7756706,699.3184001,591.8812825,541.4537983
151,297.8113115,756.7508403,95.68481217,633.5936698,789.704895,588.3858364,699.4723872,361.4820301,152.6495768,251.606741,43.48193845,661.648032,540.2634979,710.3311409,601.1946502,550.5534424
152,302.1501012,768.9167065,97.16294525,642.2941087,801.144733,596.6738834,709.6613167,367.5921605,155.7217397,255.9758606,43.69796433,673.8364645,551.167337,721.1127509,610.798204,559.523308
153,306.6346432,781.179039,99.00119672,650.8057352,812.6929242,604.7682797,719.6081431,373.9775593,158.9984379,260.428471,43.80634533,685.8873844,562.0308722,731.8223371,620.9386442,568.6114562
154,311.0467268,793.5529662,101.1599956,659.3726022,824.335625,612.6159487,729.4295504,380.3134276,162.2480485,264.7639419,43.8451199,697.4515735,572.4193498,742.8541403,631.6935502,578.0685369
155,315.0952487,805.9240876,103.3596781,668.1037362,836.1124306,620.2706886,739.2638253,386.2759993,165.1022399,268.8418278,43.85226245,708.478866,582.3708386,754.4439884,642.9002473,587.8845494
156,318.780167,818.1546141,105.3312828,676.9299961,847.9769267,627.787155,749.2268355,391.6849172,167.2907995,272.6364299,43.87720643,719.0686522,592.2116744,766.4294482,654.2913944,597.9346803
157,322.3974655,830.1478644,106.8904268,685.6747016,859.7868107,635.1764662,759.4021923,396.5999539,168.7314492,276.2514895,43.96698427,729.4092419,602.3793833,778.3112982,665.5704933,608.060146
158,326.270939,841.9936516,107.9989064,694.3340357,871.3790814,642.3369448,769.8375976,401.5445523,169.6679953,279.9364641,44.10747904,739.6932223,612.952542,789.6506034,676.5690545,618.2311808
159,330.5156671,853.884418,108.7166306,703.0068551,882.6207982,649.2855702,780.4793008,406.1748916,170.4424236,283.9249251,44.28245264,750.083632,623.7734273,800.2511272,687.2561643,628.4857714
160,334.9429327,866.0514865,109.1889616,711.8523086,893.4301456,656.2524048,791.1507841,409.065482,171.3727516,288.3264975,44.50125975,760.6792869,634.5386505,810.2368904,697.7412218,638.882308
161,339.275124,878.5300398,109.6231061,720.9647732,903.7496143,663.5145827,801.6895052,410.8185447,172.5573586,292.9208305,44.80201122,771.4102781,645.1716124,819.8638631,708.1631589,649.3355842
162,343.3166645,891.1706044,110.2508318,730.4091557,913.5785011,671.1721543,812.0512705,412.9348574,173.9347679,297.3326732,45.16396331,782.1551141,655.7653052,829.4044628,718.6156929,659.6038642
163,347.1048477,903.6318748,111.2926393,740.2352986,923.0209732,678.9425008,822.3978595,416.7037479,175.3298114,301.1927035,45.42752845,792.8477903,666.521845,839.0606746,729.084184,669.2700985
164,350.8143672,915.5835303,112.8371974,750.2995397,932.2985585,686.4963147,832.7908252,421.591432,176.7214916,304.5155525,45.44751514,803.5928015,677.4091677,848.9393157,739.5328034,678.0165181
165,354.6494011,926.8751839,114.8410682,760.3227109,941.6885159,693.6428754,843.1485215,426.4273311,178.2228765,307.619523,45.18392526,814.5643848,688.1882873,859.0598714,749.9342051,685.8227702
166,358.6829003,937.834097,117.1175563,770.0045616,951.4284486,700.6067577,853.2137907,431.5586206,180.0176623,310.9779847,44.85201843,825.8216863,698.494456,869.3446331,760.3028259,693.3293918
167,362.7791526,949.0182126,119.4579522,779.3491798,961.6504914,707.7082982,862.9358785,437.1596475,182.1491135,314.7800626,44.74505186,837.2159045,708.2852162,879.6316267,770.6743949,701.4201473
168,366.6544392,960.9934327,121.6843217,788.6669891,972.3536695,715.1995921,872.4968567,442.9737312,184.5052513,318.870872,45.12789478,848.4427105,717.8795971,889.7309028,781.0924126,710.9123068
169,370.1313175,973.7612782,123.7395481,798.35842,983.3435747,722.9432419,882.1291946,448.7110309,186.9168782,322.8522612,46.00607986,859.2772995,727.7795522,899.6053433,791.5776008,721.8082998
170,373.2669463,986.9305364,125.584757,808.5790453,994.2954943,730.5907579,891.926808,454.2199218,189.3481282,326.474039,47.21140638,869.6459942,738.2452666,909.325062,802.0923388,733.5247515
171,376.3871937,999.8458451,127.1745765,819.0939824,1004.811708,737.7005431,901.7934908,459.5564515,191.9421382,329.8056241,48.4621431,879.6628578,749.1181317,919.0150729,812.5167816,745.0593904
172,379.8101083,1012.162493,128.5643759,829.4248769,1014.696785,744.1186839,911.701487,464.8973445,194.718687,333.1639354,49.61487954,889.5735082,760.0096114,928.5958302,822.6390142,755.7796549
173,383.681811,1023.807255,129.9128295,839.1294904,1023.95494,749.9299497,921.7051839,470.3746182,197.5404247,336.8083247,50.65396384,899.5918129,770.6396198,937.9189983,832.2921399,765.4779598
174,387.8341892,1034.965445,131.4814106,848.0376017,1032.795301,755.4274964,931.9217564,475.9391394,200.0931907,340.6872953,51.68008687,909.7504333,781.1131142,946.8956177,841.4880279,774.4433651
175,392.0499346,1045.888466,133.3865358,856.2462389,1041.323605,760.7976977,942.1540405,481.459983,202.2221784,344.592092,52.68737875,919.8346829,791.6502159,955.66246,850.4688093,783.0261892
176,396.173504,1056.839347,135.5476334,863.9995443,1049.495966,766.1112438,951.9802885,486.8168258,203.9549454,348.333299,53.57496024,929.5283837,802.3473627,964.428956,859.5486658,791.4767153
177,400.2480725,1068.042635,137.6074367,871.5376573,1057.072505,771.350153,960.9342369,492.03182,205.5136965,351.9968028,54.18862842,938.6433136,812.8142641,973.2088196,868.8654094,799.7540639
178,404.2896801,1079.597962,139.324748,879.053296,1063.906772,776.6566316,968.9790073,497.1852082,207.0158826,355.7161768,54.4477708,947.2375283,822.5450043,981.7896521,878.4206172,807.8680407
179,408.2221748,1091.388209,140.6524088,886.6400052,1070.023532,782.2871764,976.486537,502.3427192,208.4298245,359.5680115,54.3668836,955.5343959,831.1327947,989.8096507,888.0962236,815.9415097
180,411.8181955,1102.818284,141.737666,894.1419414,1075.692583,788.2989377,983.8891388,507.3793607,209.6247641,363.389072,54.04890344,963.6014677,838.7237187,997.012431,897.6649358,824.1825056
181,414.9705777,1113.349114,142.7114429,901.4047147,1081.334613,794.4993678,991.4664585,512.1488566,210.5725155,367.0282522,53.60610239,971.4890217,845.891252,1003.417525,906.9756089,832.6959698
182,417.7832038,1122.735795,143.6027176,908.3800314,1087.420659,800.4624962,999.2533555,516.5603062,211.4143802,370.4296217,53.1371312,979.2803723,853.4732049,1009.347796,916.0067471,841.377837
183,420.4102556,1131.123628,144.3363814,915.1418398,1094.049751,805.8355836,1007.04981,520.6277402,212.3389741,373.5184158,52.76744327,987.0490974,861.7586795,1015.083619,924.7176487,849.7961994
184,422.9548648,1138.912448,144.857461,921.8728184,1101.052689,810.4861919,1014.606534,524.4628887,213.4821377,376.2218129,52.58137057,994.8390117,870.5931675,1020.807412,933.0942404,857.5663676
185,425.3942903,1146.664335,145.2323154,928.8494349,1108.06142,814.6144791,1021.754771,528.269923,214.8440561,378.5016212,52.55909711,1002.635304,879.4537211,1026.551617,941.1832941,864.6468343
186,427.6489493,1154.642489,145.6573891,936.1442894,1114.857357,818.3707617,1028.417867,532.1363642,216.2972532,380.4506118,52.59198354,1010.289047,888.0739214,1032.176322,948.9479014,871.2544503
187,429.6139424,1162.792065,146.3341166,943.5846323,1121.377723,821.8260341,1034.622305,536.0064382,217.6701168,382.2612356,52.55708152,1017.606256,896.4552332,1037.49823,956.3248566,877.6853124
188,431.192784,1170.712266,147.2764882,950.6844308,1127.702698,824.9770992,1040.542182,539.643601,218.8596667,384.1874185,52.42072564,1024.487944,904.8398891,1042.481409,963.3375516,884.085461
189,432.419035,1178.109194,148.2612836,957.0705302,1133.839829,827.8719992,1046.400895,542.870153,219.8802944,386.4157817,52.21221298,1031.045134,913.324849,1047.340658,970.2400511,890.4371844
