bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,A9:,A10:,A11:,A12: Std_1,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,B9:,B10:,B11:,B12: Std_2,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,C9:,C10:,C11:,C12: Std_3,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16,D9:,D10:,D11:,D12: Ladder
348,133.0639305578997,333.37128169077414,423.33319208294796,242.18909142008138,274.37017860242463,6.60651557190616,208.07661742108564,265.7886341678066,3.050552415697298,0.136513350442443,1.1555018346802841,2.4650820103936475,156.2311614717383,222.90619446517667,223.34584609951887,5.848999559362873,169.347851773763,76.1462845973852,225.21652646852996,68.69806219407931,0.6055395734740187,0.40307838812235025,0.0,0.9863835781038469,129.20750041549175,81.70016382292849,14.058916826734295,121.70959230198599,45.902031881887545,81.3110802458056,69.59346578449419,139.2117544144875,0.0,1.159030643134993,3.7984147884799855,0.2543421370390099,19.7820536870286,19.95925911624582,33.83896567938633,76.2103871949619,82.12366003133047,169.6940168383318,41.457553423740386,30.54300022265888,0.4308815755593685,2.1356129509770745,0.2035083046442259,0.16068139742942017
349,131.05,329.13000000000005,418.73999999999995,239.02000000000004,270.93999999999994,6.450000000000001,204.26,260.65,3.0900000000000003,0.36999999999999994,0.94,1.98,153.9,218.63000000000005,219.76999999999998,5.660000000000001,166.49,75.44000000000001,222.46999999999997,67.91,0.55,0.15000000000000002,0.5999999999999999,1.5399999999999996,127.4,80.63,13.97,118.71,44.93999999999999,79.55000000000001,68.06999999999998,136.14,0.0,1.4799999999999998,3.84,0.18999999999999997,18.979999999999997,19.92,33.35000000000001,74.11,81.25,166.07000000000002,40.81,30.25,0.7800000000000001,2.3,0.5699999999999997,0.0
350,128.9550204697781,324.4848325308727,413.6262763479302,236.38621587636226,267.52166391913784,6.0962589280440955,200.7323996922126,255.90735683289142,2.66993061982726,0.3226543143602182,0.9804184331431861,1.410193234611127,151.31334006008854,214.5405389933372,216.61988216523912,5.379979922868572,163.42361788914863,75.05291828368026,219.63884220664997,66.6860790069592,0.7968626138826265,0.0,2.2137737208005177,1.9084904036331867,125.24404385194762,78.88520890962947,14.145481657900838,115.60425558026428,44.28890427784926,78.04009259966868,66.3577356120546,132.8422796579343,0.2974857653947727,1.3927777757658706,3.805234249016603,0.055358150982160244,18.340324254399494,20.04404672847525,33.26374527190839,71.78654536451687,80.22469053380458,162.53341256155983,40.19945763344746,30.365177918023015,1.024348113691143,2.31040467225072,0.9405527993053211,0.0
351,126.9141893702318,319.4723301508287,407.88121947701705,233.9505725237959,263.99323199890136,5.661046484248811,197.4893360540353,251.56978893773004,1.8832186814294638,0.0,1.3966372658815287,1.1251684895573142,148.53174014396342,210.99271342384537,213.4543383009411,4.961637561981746,160.45367500093073,74.84700973458834,216.71884411974256,65.00719192649653,1.2205339671081565,0.0,3.066230987113289,1.965519667460324,122.5966339668877,76.84024315764383,14.38388466246781,112.70243190385182,43.905369458170235,76.70599380920588,64.5924270207863,129.33596371616844,0.28338278664720945,0.8964988590880731,3.7259880001278027,0.0,17.91677990819431,20.08399708168823,33.63252787313552,69.41001235945659,78.90671096994626,159.17626134535251,39.470314709466386,30.667707694446978,0.9948607926977995,2.372924893979519,1.391603844392919,0.0
352,125.01000000000002,314.2,401.8399999999999,231.31999999999996,260.2,5.269999999999999,194.32999999999996,247.52000000000004,1.04,0.0,2.05,1.2899999999999998,145.66999999999996,208.07000000000002,209.96,4.419999999999999,157.93,74.54,213.71999999999997,63.07,1.4799999999999998,0.0,2.75,1.75,119.77,74.89999999999999,14.520000000000001,110.11000000000001,43.64,75.37000000000002,62.94,125.84999999999997,1.3877787807814457e-17,0.20000000000000012,3.6,0.009999999999999995,17.709999999999997,19.88,34.22,67.30000000000001,77.20000000000002,155.93,38.5,30.89,0.7,2.6800000000000006,1.96,0.09999999999999992
353,123.24355125238132,308.8475875072462,396.14971586289676,228.21240557108746,256.00909146855565,5.00588386560582,190.9418349367577,243.51779463734144,0.5303631322514463,0.0,2.6161820592824694,1.7870328424607502,142.85719076586832,205.53305229869937,206.1661697048591,3.8349615955027696,155.97725295626418,73.81362249745656,210.64355585319674,61.24620310852265,1.170483790201527,0.0,2.271545763243804,1.4475257820545573,117.37232514091657,73.30039720124141,14.467897401059005,107.71540552615446,43.29913412356666,73.87636429654572,61.49877422364142,122.74331447784739,0.0,0.0,3.3953997840351877,0.091187671185274,17.69882366444194,19.427605851542047,34.51161305225554,65.79614884483264,75.08557828676375,152.6166957772352,37.266347341886885,30.79658482066671,0.29401604471792747,3.286272804802621,2.5693041242938337,0.6142784397035607
354,121.50990581053064,303.6983774578654,391.20536207677253,224.64596095009858,251.45358790071307,4.860727800169787,187.21260585392707,239.26507762707962,0.491546161352232,0.0,2.8637161839574135,2.3257953619272715,140.257644988194,202.9669786538436,202.5389641877306,3.31318556764084,154.20433898000755,72.61370353870353,207.40543935601366,59.88669885094624,0.28378781789202595,0.0,1.8780812133133875,1.294595470044393,115.74500475056549,72.00064779149257,14.229542521889082,105.4548247223095,42.759436828791934,72.33172197196546,60.20606806206963,120.14803390816641,0.0,0.0,3.070602398494429,0.12837927386597575,17.896198361025082,18.897440768130206,34.188646766733235,64.89941546705992,72.71918243680612,149.16845681141777,35.94129695323348,30.265277869969243,0.0,3.947557786958416,2.9937603316714556,1.3290941110264987
355,119.74000000000001,298.93000000000006,386.85999999999996,220.77,246.78,4.830000000000001,183.36,234.62,0.81,0.0,2.79,2.72,138.04,200.07999999999998,199.34,2.9,152.15,71.10999999999999,204.0,59.099999999999994,0.0,0.0,1.7399999999999998,1.3000000000000003,114.80999999999997,70.88,13.870000000000001,103.38999999999999,41.97,70.87999999999998,58.98,117.92000000000003,0.25,0.0,2.6399999999999997,0.13,18.33,18.42,33.25999999999999,64.31,70.41,145.68999999999997,34.86,29.32,0.0,4.34,3.0500000000000003,2.22
356,117.95877113763449,294.54361479279663,382.52604202892167,216.7767213781218,242.38191293693848,4.9483374126596145,179.83403016313565,229.67028660840657,1.2092273057670613,0.0,2.59390817458916,2.9401184116912296,136.33029362503106,196.8070080032682,196.42019740649215,2.5687416734294684,149.50903460966097,69.5966855696004,200.5409397381044,58.7011348827281,0.0,0.0,2.0545336312793983,1.2539075821676484,114.12813775051431,69.79553709293549,13.485081956925283,101.61734771182414,40.944529007639495,69.57456310752683,57.78251092633275,115.73745636526272,0.9326788608921212,0.041196488006614594,2.18665902377232,0.18200998635241677,18.990244084824702,18.032064822743013,32.0147633855951,63.555834759436294,68.50007214755456,142.4181060975111,34.38681256037628,28.12737994168129,0.03446910495243339,4.198155335726708,2.6734086445120595,3.046673660550338
357,116.3156030883084,290.3586579629901,377.7657014496504,212.80399188869578,238.54144305552666,5.298031607017089,176.88825701205428,224.73944598953318,1.5073164663906733,0.6831825268127864,2.4598337539667012,3.003003614461526,135.0878822833453,193.3331358781134,193.24745662358384,2.2799974220270456,146.37447812658212,68.2337286961501,197.21434390148605,58.276962357121036,0.0,0.0,2.6020911844593195,1.0380761724204313,113.22083994843656,68.57030740473364,13.121932866201584,99.92622531959267,39.74156095973167,68.22441009460705,56.66585918152179,113.44317766482808,1.5185048390417526,0.5427003701361828,1.832815949164568,0.2569038074188076,19.68888603504575,17.73276626472721,30.75519352779647,62.346248623826845,67.01443573793195,139.53657845894108,34.53154633950606,26.948034336974292,0.34143844416566915,3.5180693086234887,1.9636333916000643,3.37767750482519
358,114.88999999999999,286.15,372.48,208.97999999999996,235.21999999999997,5.85,174.42000000000002,220.11,1.6000000000000003,2.1699999999999995,2.41,2.9,133.91,189.89000000000001,189.54,2.1199999999999997,143.05,67.03999999999999,194.1,57.470000000000006,0.0,0.0,3.02,0.7899999999999999,111.82999999999997,67.18000000000002,12.710000000000003,98.0,38.50000000000001,66.64000000000001,55.660000000000004,111.03,1.7100000000000002,0.94,1.6399999999999992,0.30999999999999994,20.139999999999997,17.660000000000004,29.62,60.68,65.71999999999998,137.06,34.97999999999999,25.939999999999998,0.65,2.48,1.1700000000000002,3.04
359,113.64220763746461,281.718945517832,366.8519095790425,205.40984187076566,232.08509705598968,6.438988059776922,172.04236512491912,215.8999215840549,1.4647450744133412,3.410645218990354,2.3311249775583605,2.596476773068305,132.2654385030852,186.66283752483326,185.44770509714158,2.2644588695468264,139.925527875286,65.91775325472697,191.1481189987834,56.12450006448561,0.0,0.0,2.991554704297409,0.8205137016258528,109.99271447739497,65.79860358133703,12.122138884783876,95.61079577271686,37.42501272412695,64.74863031994094,54.73934170798016,108.56625982101605,1.4057991717760827,1.2029748926167931,1.5778265487772878,0.3451002858967088,20.072371300881628,18.04574611130452,28.558778049779654,58.82405630579397,64.26580214937063,134.8460488471794,35.2601396144921,25.11525288138983,0.8629958690605852,1.3782722657416633,0.6195280099861044,2.245819474667833
360,112.46187075912046,276.97950069066303,361.008532292407,202.08585141756814,228.80365191369768,6.851344327699089,169.45743675927747,211.96161067082917,1.1990325162653408,4.099938308788855,2.198771186391212,2.1003293146081674,130.33085512678858,183.70396067678072,181.4669100239243,2.726407970367433,137.28168812547554,64.72923894813869,188.28611600553177,54.45447785245196,0.0,0.0,2.5389731468948606,1.2014339068046096,108.01749526828735,64.73661883774136,11.42899908641462,93.00158901124726,36.70056475559947,62.695945278458886,53.8363308496058,106.00200895498261,0.9773720696173354,1.4177036496603832,1.5299320009206328,0.503829585552886,19.493020944430214,18.898694345458104,27.424803363158023,57.14436156281232,62.549584560908,132.7458638359794,35.21257402207368,24.402017662485616,0.9733390664799143,0.4839310522889468,0.502662706284992,1.521353919489114
361,111.34000000000003,271.98,355.08,198.91999999999993,225.30000000000004,6.959999999999999,166.61,208.09,0.9500000000000001,4.13,2.1399999999999997,1.53,127.09,180.93,177.95999999999998,3.289999999999999,135.2,63.4,185.49000000000004,52.84000000000002,0.04999999999999995,0.0,1.8899999999999997,1.68,106.19999999999999,64.05,10.84,90.62,36.34,60.67999999999999,52.91,103.39,0.65,1.6399999999999997,1.41,0.81,18.62,19.930000000000003,26.159999999999993,55.870000000000005,60.75,130.69000000000003,34.92999999999999,23.739999999999995,1.0,0.0,0.7600000000000001,1.2599999999999998
362,110.38398763872215,266.87754838277743,349.2384698554515,195.79254629407842,221.73537177284297,6.738606535328419,163.65278528943563,204.12157853132481,0.8453518841678591,3.634158315766932,2.3629526223389945,1.1057415964502262,121.51584541816133,178.13753215921247,175.02026654608247,3.616275092818691,133.5479852739721,61.94926740398476,182.7671706893074,51.659643797848204,0.372431146902547,0.0,1.3483433399954377,1.8110620183720707,104.65838345153374,63.46676489763476,10.580788355974907,88.88379310621181,36.17713061161938,58.887002112387066,51.965680392797005,100.92832927710998,0.342583618047112,1.8489705271470056,1.1921719183689665,1.1249495717570621,17.769250423814363,20.659862217001773,24.8518330150237,55.0083609290868,59.21819498067138,128.67917035559293,34.616253153624164,23.100234471850385,0.9500656544883533,0.0,1.094427939737847,1.5607249107252508
